"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-11-30","8.28",,"2.74","0.0","0.0","55","63","48","  280","  280","21.0","30.0","    1",,"    1",,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-01","14.09",,"0.00","0.0","0.0","46","49","39","  270","  250","30.0","44.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-02","11.86",,"0.00","0.0","0.0","42","48","33","  290","  290","23.0","32.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-03","3.58",,"0.00","0.0","0.0","41","56","28","  230","  230","10.1","16.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-04","2.91",,"0.29","0.0","0.0","48","51","44","   20","   20","10.1","19.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-05","11.41",,"0.61","0.0","0.0","46","50","38","  290","  290","25.9","40.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-06","11.63",,"0.00","0.0","0.0","41","46","31","  280","  290","18.1","31.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-07","5.59",,"0.00","0.0","0.0","34","41","27","  290","  320","14.1","21.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-08","10.74",,"0.00","0.0","0.0","36","47","30","  310","  300","21.9","30.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-09","4.47",,"0.00","0.0","0.0","36","44","27","  220","  230","13.0","19.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2020-12-10","2.24",,"0.00","0.0","0.0","38","53","27","  290","  260","12.1","15.0","    1",,,,,,,
